id,Zone,Element,Unit,Value
AFG,Afghanistan,Import Quantity,tonnes,28937
AFG,Afghanistan,Import Value,1000 US$,28934
AFG,Afghanistan,Export Quantity,tonnes,37
AFG,Afghanistan,Export Value,1000 US$,31
ALB,Albania,Import Quantity,tonnes,17515
ALB,Albania,Import Value,1000 US$,16481
DZA,Algeria,Import Quantity,tonnes,2
DZA,Algeria,Import Value,1000 US$,2
AGO,Angola,Import Quantity,tonnes,265888
AGO,Angola,Import Value,1000 US$,298200
AGO,Angola,Export Quantity,tonnes,0
AGO,Angola,Export Value,1000 US$,0
ATG,Antigua and Barbuda,Import Quantity,tonnes,6144
ATG,Antigua and Barbuda,Import Value,1000 US$,11927
ATG,Antigua and Barbuda,Export Quantity,tonnes,8
ATG,Antigua and Barbuda,Export Value,1000 US$,15
ARG,Argentina,Import Quantity,tonnes,2097
ARG,Argentina,Import Value,1000 US$,3891
ARG,Argentina,Export Quantity,tonnes,204099
ARG,Argentina,Export Value,1000 US$,285244
ARM,Armenia,Import Quantity,tonnes,34419
ARM,Armenia,Import Value,1000 US$,39238
AUS,Australia,Import Quantity,tonnes,3043
AUS,Australia,Import Value,1000 US$,13560
AUS,Australia,Export Quantity,tonnes,38284
AUS,Australia,Export Value,1000 US$,46957
AUT,Austria,Import Quantity,tonnes,45022
AUT,Austria,Import Value,1000 US$,152854
AUT,Austria,Export Quantity,tonnes,38057
AUT,Austria,Export Value,1000 US$,132684
AZE,Azerbaijan,Import Quantity,tonnes,23717
AZE,Azerbaijan,Import Value,1000 US$,29922
AZE,Azerbaijan,Export Quantity,tonnes,69
AZE,Azerbaijan,Export Value,1000 US$,99
BHS,Bahamas,Import Quantity,tonnes,5088
BHS,Bahamas,Import Value,1000 US$,37214
BHR,Bahrain,Import Quantity,tonnes,50133
BHR,Bahrain,Import Value,1000 US$,98096
BHR,Bahrain,Export Quantity,tonnes,377
BHR,Bahrain,Export Value,1000 US$,836
BGD,Bangladesh,Import Quantity,tonnes,167
BGD,Bangladesh,Import Value,1000 US$,118
BGD,Bangladesh,Export Quantity,tonnes,1
BGD,Bangladesh,Export Value,1000 US$,5
BRB,Barbados,Import Quantity,tonnes,562
BRB,Barbados,Import Value,1000 US$,1858
BRB,Barbados,Export Quantity,tonnes,86
BRB,Barbados,Export Value,1000 US$,302
BLR,Belarus,Import Quantity,tonnes,17840
BLR,Belarus,Import Value,1000 US$,11833
BLR,Belarus,Export Quantity,tonnes,148968
BLR,Belarus,Export Value,1000 US$,220350
BEL,Belgium,Import Quantity,tonnes,212149
BEL,Belgium,Import Value,1000 US$,329934
BEL,Belgium,Export Quantity,tonnes,542999
BEL,Belgium,Export Value,1000 US$,880087
BLZ,Belize,Import Quantity,tonnes,3
BLZ,Belize,Import Value,1000 US$,4
BLZ,Belize,Export Quantity,tonnes,0
BLZ,Belize,Export Value,1000 US$,0
BEN,Benin,Import Quantity,tonnes,70849
BEN,Benin,Import Value,1000 US$,63240
BEN,Benin,Export Quantity,tonnes,5
BEN,Benin,Export Value,1000 US$,18048
BTN,Bhutan,Import Quantity,tonnes,1298
BTN,Bhutan,Import Value,1000 US$,1683
BOL,Bolivia (Plurinational State of),Import Quantity,tonnes,690
BOL,Bolivia (Plurinational State of),Import Value,1000 US$,645
BOL,Bolivia (Plurinational State of),Export Quantity,tonnes,848
BOL,Bolivia (Plurinational State of),Export Value,1000 US$,1147
BIH,Bosnia and Herzegovina,Import Quantity,tonnes,7409
BIH,Bosnia and Herzegovina,Import Value,1000 US$,7109
BIH,Bosnia and Herzegovina,Export Quantity,tonnes,4217
BIH,Bosnia and Herzegovina,Export Value,1000 US$,5901
BWA,Botswana,Import Quantity,tonnes,2231
BWA,Botswana,Import Value,1000 US$,2723
BWA,Botswana,Export Quantity,tonnes,4
BWA,Botswana,Export Value,1000 US$,20
BRA,Brazil,Import Quantity,tonnes,3306
BRA,Brazil,Import Value,1000 US$,8320
BRA,Brazil,Export Quantity,tonnes,3944215
BRA,Brazil,Export Value,1000 US$,6427893
BRN,Brunei Darussalam,Import Quantity,tonnes,1486
BRN,Brunei Darussalam,Import Value,1000 US$,2956
BGR,Bulgaria,Import Quantity,tonnes,96121
BGR,Bulgaria,Import Value,1000 US$,105200
BGR,Bulgaria,Export Quantity,tonnes,30005
BGR,Bulgaria,Export Value,1000 US$,72561
BFA,Burkina Faso,Import Quantity,tonnes,75
BFA,Burkina Faso,Import Value,1000 US$,68
BDI,Burundi,Import Quantity,tonnes,4
BDI,Burundi,Import Value,1000 US$,8
CPV,Cabo Verde,Import Quantity,tonnes,10731
CPV,Cabo Verde,Import Value,1000 US$,12406
KHM,Cambodia,Import Quantity,tonnes,8129
KHM,Cambodia,Import Value,1000 US$,13596
CMR,Cameroon,Import Quantity,tonnes,9
CMR,Cameroon,Import Value,1000 US$,32
CAN,Canada,Import Quantity,tonnes,143243
CAN,Canada,Import Value,1000 US$,338542
CAN,Canada,Export Quantity,tonnes,103470
CAN,Canada,Export Value,1000 US$,162553
CAF,Central African Republic,Import Quantity,tonnes,4570
CAF,Central African Republic,Import Value,1000 US$,3641
TCD,Chad,Import Quantity,tonnes,601
TCD,Chad,Import Value,1000 US$,1040
CHL,Chile,Import Quantity,tonnes,130216
CHL,Chile,Import Value,1000 US$,176644
CHL,Chile,Export Quantity,tonnes,82759
CHL,Chile,Export Value,1000 US$,233702
CHN,China,Import Quantity,tonnes,1362318
CHN,China,Import Value,1000 US$,2535974
CHN,China,Export Quantity,tonnes,690871
CHN,China,Export Value,1000 US$,1285268
HKG,"China, Hong Kong SAR",Import Quantity,tonnes,736108
HKG,"China, Hong Kong SAR",Import Value,1000 US$,1296629
HKG,"China, Hong Kong SAR",Export Quantity,tonnes,490253
HKG,"China, Hong Kong SAR",Export Value,1000 US$,833068
MAC,"China, Macao SAR",Import Quantity,tonnes,18300
MAC,"China, Macao SAR",Import Value,1000 US$,56523
MAC,"China, Macao SAR",Export Quantity,tonnes,71
MAC,"China, Macao SAR",Export Value,1000 US$,141
F41,"China, mainland",Import Quantity,tonnes,450411
F41,"China, mainland",Import Value,1000 US$,1027766
F41,"China, mainland",Export Quantity,tonnes,194390
F41,"China, mainland",Export Value,1000 US$,446095
TWN,"China, Taiwan Province of",Import Quantity,tonnes,157499
TWN,"China, Taiwan Province of",Import Value,1000 US$,155056
TWN,"China, Taiwan Province of",Export Quantity,tonnes,6157
TWN,"China, Taiwan Province of",Export Value,1000 US$,5964
